Vernier Format 2 # Bakgrunn = 2.5
Untitled.cmbl 03.02.2025 08:34:21 ,
Latest
Time	Radiation
t	Rad
s	Counts

10	389
20	372
30	334
40	340
50	321
60	289
70	284
80	255
90	212
100	244
110	224
120	231
130	241
140	200
150	179
160	207
170	170
180	169
190	176
200	161
210	150
220	136
230	165
240	139
250	149
260	139
270	128
280	111
290	126
300	110
310	102
320	99
330	82
340	80
350	92
360	78
370	69
380	91
390	71
400	71
410	77
420	66
430	64
440	62
450	66
460	65
470	47
480	52
490	39
500	37
510	39
520	41
530	41
540	46
550	43
560	45
570	33
580	37
590	23
600	42
